"ID","SRC_ID","COMN_CD","COMN_CD_NM","SEQ","DESCRIP","DEFAT_VAL_YN","IF_VAL","USE_YN","DEL_YN","ATTR_01_VAL","ATTR_02_VAL","ATTR_03_VAL","ATTR_04_VAL","ATTR_05_VAL","ATTR_06_VAL","ATTR_07_VAL","ATTR_08_VAL","ATTR_09_VAL","ATTR_10_VAL","CREATE_BY","CREATE_DTTM","MODIFY_BY","MODIFY_DTTM"
E32063750873467F93AD7332C73CB7E5,BD3E278450634B359E67D4469FF95B33,PP_CON_14,Product Mix,14,COMN_CODE_DESCRIP_PLAN_POLICY_TREE_ITEM_PP_CON_14,N,N,Y,Y,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E375FD3CE3BD4C6985E238DE8B445212,D4296104785949A884E5E6620304FA8C,MYR,Malaysian Ringgit,33,COMN_CODE_DESCRIP_CURRENCY_MYR,N,N,N,N,MY,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E46CEE00AEFB4FE8B13E2D0B76D53B0E,"9A7089281CBB466AAC0DEA4DB520CCD2",TARIFF,TARIFF,8,COMN_CODE_DESCRIP_COST_TARIFF,N,,Y,N,,,,,,,,,,,system,1970-01-01 00:00:00.000,,
E4B050F1EEDC4ACDA294D10915DBAAC5,D4296104785949A884E5E6620304FA8C,ESP,Spanish Peseta,15,COMN_CODE_DESCRIP_CURRENCY_ESP,N,N,N,N,ES,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E57E21D76ADC4188BDE0FD170A3B9D2B,"184B6561B7DB4B4CB98CA50C834F8CF9",READY,Ready,1,COMN_CODE_DESCRIP_STEP_STATUS_READY,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E5FFC0F479FC424081503DB023578573,ADAA37BF642A43F4A149E6EA1CDED1D5,BUCKET_VARIABLE_HOUR,Bucket Variable Hour,10,Bucket Variable Hour,N,,Y,N,HOUR,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
E66AA811B1D24DCA94C970DB06CC1A51,D58878BD8CBB4750925E958E035BF69D,FP_STATUS_INBOUND,Engin Process - Inbound,3,Engin Process - Inbound,N,,Y,N,"","",,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
E68575B5B08B481A931DCD855C5A4402,"939B669406114C1EB1C25CF73A546BD8",BACKWARD2,BACKWARD2,4,COMN_CODE_DESCRIP_STRATEGY_METHD_BACKWARD2,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E6FD305F951B421989C1C195D540293F,D4296104785949A884E5E6620304FA8C,BHD,Bahraini Dinar,6,COMN_CODE_DESCRIP_CURRENCY_BHD,N,N,N,N,BH,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E77CF3A927F04725A1DAA711E08E1B47,"3C377A12F78C413EAE98DD7157BF1E6D",DMND_TYPE_03,Actual S/O,3,COMN_CODE_DESCRIP_DEMAND_TYPE_DMND_TYPE_03,N,,Y,N,SO,,,,,,,,,,admin,1970-01-01 00:00:00.000,sub,2023-02-17 13:33:40.810
